,race_id,venue,race_no,config,surface,distance,going,prize,race_class,place_combination1,place_combination2
3292,3292,0,10,3,0,1400,1,2400000,13,10,3
3293,3293,0,11,3,0,1600,1,1400000,2,12,13
3294,3294,0,1,4,0,1000,1,540000,5,13,1
3295,3295,0,2,4,0,1000,1,700000,4,3,1
3296,3296,0,3,0,1,1650,4,540000,5,1,8
3297,3297,0,4,4,0,1400,1,700000,4,10,2
3298,3298,0,5,4,0,1800,1,700000,4,12,8
3299,3299,0,6,0,1,1200,4,700000,4,8,3
3300,3300,0,7,4,0,1200,1,950000,3,8,2
3301,3301,0,8,0,1,1200,4,950000,3,11,9
3302,3302,0,9,4,0,1000,1,1400000,2,7,5
3303,3303,0,10,4,0,1400,1,950000,3,1,12
3304,3304,1,1,0,0,1200,1,540000,5,7,11
3305,3305,1,2,0,0,1000,1,700000,4,11,9
3306,3306,1,3,0,0,1650,1,700000,4,6,9
3307,3307,1,4,0,0,1200,1,700000,4,1,9
3308,3308,1,5,0,0,1200,1,950000,3,5,2
3309,3309,1,6,0,0,1650,1,950000,3,12,11
3310,3310,1,7,0,0,1800,1,2400000,13,4,3
3311,3311,1,8,0,0,1650,1,950000,3,8,11
3312,3312,0,1,0,1,1200,1,540000,5,6,1
3313,3313,0,2,0,1,1200,1,700000,4,10,3
3314,3314,0,3,5,0,1200,1,950000,3,2,1
3315,3315,0,4,0,1,1650,1,700000,4,14,2
3316,3316,0,5,5,0,1400,1,700000,4,10,1
3317,3317,0,6,5,0,1400,1,700000,4,9,5
3318,3318,0,7,5,0,1000,1,950000,3,2,3
3319,3319,0,8,0,1,1800,1,950000,3,8,1
3320,3320,0,9,5,0,1400,1,950000,3,8,11
3321,3321,0,10,5,0,1400,1,1400000,2,2,11
